course number,course name,credits,prereqs,desc
CHEM 356,"Physical Chemistry Laboratory",2.0,"CHEM 241 [Min Grade: D] (Can be taken Concurrently)","Provides experiments in physical chemistry for engineering students. Some or all pre-requisites may be taken as either a pre-requisite or co-requisite. Please see the department for more information."
CHEM 357   [WI],"Physical Chemistry Laboratory I",2.5,"CHEM 253 [Min Grade: D] and (PHYS 211 [Min Grade: D] or PHYS 201 [Min Grade: D]) or CHEC 352 [Min Grade: D]","This laboratory course reinforces thermodynamics and kinetics topics. Experiments focus on the characterization of liquids, solute-solvent systems (e.g., polymers in solution), phase transitions, diffusion processes and binary mixtures of liquids. This is a writing intensive course."
CHEM 358,"Physical Chemistry Laboratory II",2.5,"CHEM 357 [Min Grade: D] and (CHEM 253 [Min Grade: D] or CHEC 352 [Min Grade: D])","This laboratory course focuses on optical spectroscopy, kinetics and adsorption processes. The spectroscopy part of the course involves absorption and fluorescence measurements. Experiments also have thermodynamic components. Students are encouraged to complete CHEM 355 and CHEM 359 before enrolling in this course."
CHEM 359,"Atomic and Molecular Spectroscopy",3.0,"CHEM 355 [Min Grade: D]","Emission and absorption of light, laser principles, optical spectrometers, atomic spectroscopy. LS-coupling, Zeeman effect, magnetic resonance spectroscopy, EPR, NMR, ENDOR, molecular spectroscopy of diatomic and polyatomic molecules, rotational, vibrational and electronic, fluorescence spectroscopy, two-photon spectroscopy, time resolved spectroscopy, photo-electron spectroscopy."
CHEM 361,"Advanced Organic Chemistry Laboratory",2.5,"CHEM 249 [Min Grade: D] or (CHEM 243 [Min Grade: D] and CHEM 245 [Min Grade: D])","Emphasizes experimental design, data collection, and interpretation in such areas as reaction mechanism and molecular structure determination. Not offered every year."
CHEM 364,"Spectroscopic Analysis",3.0,"CHEM 249 [Min Grade: D] or CHEM 243 [Min Grade: D]","Covers interpretation of spectra for the determination of structure of organic molecules. Stresses use of infrared, nuclear magnetic resonance, and mass spectrometry. Fall. Not offered every year."
CHEM 367,"Chemical Information Retrieval",3.0,"No Prereq","This course examines methods for retrieving literature information, via standard tabulations, journals, and abstracts, using both hard-copy and electronic sources. Includes techniques for online searching of databases such as Chemical Abstracts, Beilstein, and crystallographic depositories."
CHEM 371,"Chemistry of Biomolecules",3.0,"CHEM 243 [Min Grade: D] or CHEM 249 [Min Grade: D]","This course is a chemistry-based approach to understanding the basic structure, chemical reactivity, and biological function of biomolecules – including amino acids, peptides, proteins, carbohydrates, nucleic acids, and lipids. A special emphasis will be given to topics in the frontiers of biomolecular research at the interface between chemistry and biology."
CHEM 375,"The Chemistry Behind Drugs: Fundamentals of Medicinal Chemistry",3.0,"CHEM 243 [Min Grade: D], CHEM 249 [Min Grade: D] (Can be taken Concurrently) or CHEM 245 [Min Grade: D]","Covers basic concepts of general and organic chemistry that constitute the foundation of medicinal chemistry. Focuses on applications and problem-solving through active-learning. Offers a comprehensive overview of potential roles for science majors on a medicinal chemistry team. Students will make interdisciplinary connections, while applying nomenclature, stereochemistry and physicochemical properties of functional groups (e.g., water/lipid solubility, electronic effects, acidity/basicity, ionization and salt formation at physiological pH) to predict drug-target and drug-drug interactions, as well as drug metabolic pathways. Using structure-activity relationships and retrosynthetic analysis, students will then design ligands and prodrugs with virtually improved pharmacological action and bioavailability."
CHEM 420,"Molecular Symmetry and Group Theory Applied Chemistry",3.0,"CHEM 421 [Min Grade: D]","Applies the principles of simple group theory to molecular structure and to electronic and motional properties of molecules, including crystal field and molecular orbital methods."
CHEM 421,"Inorganic Chemistry I",3.0,"CHEM 253 [Min Grade: D] (Can be taken Concurrently) or ENGR 210 [Min Grade: D]","Covers crystal, atomic, and molecular structure; modern chemical bonding; and magnetic properties of inorganic systems."
CHEM 422,"Inorganic Chemistry II",3.0,"CHEM 420 [Min Grade: D]","Covers organometallic and coordination compounds, substitution mechanisms, and bio-inorganic chemistry."
CHEM 424,"Special Chemistry Problems",0.5-12.0,"No Prereq","Allows theoretical and laboratory investigations of a particular problem of interest to the individual student. A written report may be required."
CHEM 425,"Inorganic Chemistry Laboratory",4.0,"CHEM 422 [Min Grade: D] (Can be taken Concurrently)","Covers synthesis of properties of inorganic compounds, magnetic measurements, spectroscopic properties, and interpretations of complex ion structure. Some or all pre-requisites may be taken as either a pre-requisite or co-requisite. Please see the department for more information."
CHEM 430,"Analytical Chemistry I",3.0,"CHEM 253 [Min Grade: D] (Can be taken Concurrently)CHEM 230 [Min Grade: D] and (CHEM 248 [Min Grade: D] or CHEM 242 [Min Grade: D]) or CHEC 352 [Min Grade: D])","Provides an introduction to statistics (particularly the development and use of analytic calibration curves), basic electronics, and the principles of spectroscopic methods of analysis, including the interaction of light with matter and basic instrument design."
CHEM 431   [WI],"Analytical Chemistry II",4.0,"CHEM 430 [Min Grade: D] or ENGR 210 [Min Grade: D]","Continues CHEM 430. Covers principles of chromatographic methods of analysis. Lab includes experiments on atomic absorption, fluorescence, infrared absorption, UV/visible absorption, gas chromatography, high performance liquid chromatography, basic electronics, and potentiometry/coulometry. This is a writing intensive course."
CHEM 465,"Synthetic Polymer Chemistry",3.0,"CHEM 242 [Min Grade: D] or CHEM 248 [Min Grade: D]","Explores scope of polymer science; structure-property relations; step, free radical, cationic, group-transfer, metathesis, coordination, and ring-opening polymerizations; and stereochemistry of polymerizations and reactions of polymers."
CHEM 466,"Physical Chemistry of Polymers",3.0,"(CHEM 242 [Min Grade: D] or CHEM 248 [Min Grade: D]) and CHEM 253 [Min Grade: D]","Covers kinetics and thermodynamics of polymerizations; control of polymerization processes; gelation theory; copolymerization; and determination of polymer molecular weight and distribution by membrane osmometry, light-scattering, solution viscosity, and other techniques."
CHEM 467,"Polymer Chemistry III",3.0,"CHEM 253 [Min Grade: D] or CHEC 352 [Min Grade: D] or ENGR 210 [Min Grade: D]","Covers spectroscopy of polymers; rubber elasticity; morphology; viscoelasticity; thermal analysis; computational methods; testing, fabrication, and processing; and magnetic and mechanical properties of polymers."
CHEM 493,"Senior Research Project",0.5-12.0,"No Prereq","Provides individualized research with a faculty member in any number of chemical disciplines. Requires written report. May be repeated three times for credit."
CHEM 497,"Research",0.5-12.0,"No Prereq","Covers research problems in several areas of chemistry. Requires written report."
CHEM I199,"Independent Study in CHEM",0.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
CHEM I299,"Independent Study in CHEM",0.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
CHEM I399,"Independent Study in CHEM",0.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
CHEM I499,"Independent Study in CHEM",0.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
CHEM T180,"Special Topics in Chemistry",0.0-5.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
CHEM T280,"Special Topics in Chemistry",0.0-5.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
CHEM T380,"Special Topics in Chemistry",0.0-5.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
CHEM T480,"Special Topics in Chemistry",0.0-5.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
CHIN 101,"Chinese I",4.0,"APCX N or APWCH 0","Introductory Mandarin Chinese. Includes listening, speaking, and reading, with individual audiolingual practice. Offered all terms."
CHIN 102,"Chinese II",4.0,"CHIN 101 [Min Grade: D]","Continues CHIN 101. Offered all terms."
CHIN 103,"Chinese III",4.0,"CHIN 102 [Min Grade: D]","Continues CHIN 102. Offered all terms."
CHIN 201,"Chinese IV",4.0,"CHIN 103 [Min Grade: D]","This course includes listening, speaking, reading, and writing practice, with a focus on cultural competency and conversational skills. Builds on CHIN 103."
CHIN 202,"Chinese V",4.0,"CHIN 201 [Min Grade: D]","This course includes listening, speaking, reading, and writing practice, with a focus on cultural competency and conversational skills. Builds on CHIN 201."
CHIN 310,"Advanced Writing and Speaking",4.0,"CHIN 202 [Min Grade: C]","Provides advanced practice in written and oral communication, including journalistic, professional, and creative writing. Examines contemporary cultural contexts through media and news. Taught in Chinese."
CHIN 320,"Introduction to Language for the Professions",3.0,"CHIN 310 [Min Grade: C]","Introduction to communication skills in areas such as contemporary business, health, and law in a culturally sensitive fashion. Taught in Chinese."
CHIN 340,"Introduction to Power and Resistance",3.0,"CHIN 310 [Min Grade: C]","Introduction to the analysis of power relations and issues of (in)equality rooted in contemporary political and socio-economic systems. Taught in Chinese."
CHIN 350,"Introduction to Language, Media, and Society",3.0,"CHIN 310 [Min Grade: C]","Introduction to the role of language and media in society, including sociolinguistics, gender, media studies, and communication. Taught in Chinese."
CHIN 420,"Advanced Topics in Language for the Professions",3.0,"CHIN 310 [Min Grade: C]","Advanced communication skills in areas such as contemporary business, health, and law in a culturally sensitive fashion. Taught in Chinese. Topics will vary according to the instructor's expertise."
CHIN 440,"Advanced Topics in Power and Resistance",3.0,"CHIN 310 [Min Grade: C]","Advanced analysis of power relations and issues of (in)equality rooted in contemporary political and socio-economic systems. Taught in Chinese. Topics will vary according to the instructor's expertise."
CHIN 450,"Advanced Topics in Language, Media, and Society",3.0,"CHIN 310 [Min Grade: C]","Advanced analysis of the role of language and media in society, including sociolinguistics, gender, media studies, and communication. Taught in Chinese. Topics will vary according to the instructor's expertise."
CHIN I199,"Independent Study in CHIN",0.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
CHIN I299,"Independent Study in CHIN",0.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
CHIN I399,"Independent Study in CHIN",0.5-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
CHIN I499,"Independent Study in CHIN",0.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
CHIN T180,"Special Topics in Chinese",0.0-12.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
CHIN T280,"Special Topics in Chinese",0.0-12.0,"No Prereq",""
CHIN T380,"Special Topics in Chinese",0.0-12.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
CHIN T480,"Special Topics in Chinese",0.0-12.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
COM 101,"Human Communication",3.0,"No Prereq","This course explores the elements of basic human communication - what does it mean to communicate? What makes communication good or bad? What is the nature of verbal and non-verbal messages? What does it mean to communicate in a group? How does culture affect communication?."
COM 111,"Principles of Communication",3.0,"No Prereq","Explores the importance of communication in organizational settings. Includes assessment of appropriate modes of communication, including written, spoken, and electronic."
COM 150,"Mass Media and Society",3.0,"No Prereq","Provides an overview of the history, economic structure, regulation, and impact of the mass media in the United States."
COM 160   [WI],"Introduction to Journalism",3.0,"No Prereq","This course is designed to acquaint students with various forms of basic newswriting and interview techniques. Students will learn how to write leads and short articles under deadline pressure. This is a writing-intensive course. Although writing is the main emphasis of this class, students also will learn newsroom organization, ethics and press law. This is a writing intensive course."
COM 181,"Public Relations Principles and Theory",3.0,"No Prereq","This course presents students with an overview of the PR industry, fundamental practices, and its key players, including journalists, PR practitioners, and different types of publics. It introduces students to both theory and practice of PR through the use of real-life materials and situations."
COM 200,"Current Events in Media and Communication",3.0,"No Prereq","Media are not only the channels through which we learn about current events—they are also, often, event makers themselves. This course will explore the collaborative relationships between media and current events, while exploring the topics of contemporary interest from the last 4-6 months."
COM 210,"Theory and Models of Communication",3.0,"No Prereq","Surveys historical and contemporary attempts to understand the process of human communication, using examples from the literature of interpersonal, group, organizational, and mass communication."
COM 211,"Children and Media",3.0,"No Prereq","This course examines the effects of media on the well-being and development of children and adolescents from a number of perspectives, including: emotional, intellectual, and physical. Through research, discussion and writing, students consider the effects of not only the “legacy” media (television, radio, music and print), but also those of “new” media, including social media."
COM 215   [WI],"Communication Resources for Media Studies",3.0,"No Prereq","The powerful combination of internet and video technologies has led to a kind of revolution in how humans express and share their experiences. This course provides a grounding in how this communication revolution involves new forms of meaning making resources that tap into the combination of text, image, and sound, and their circulation in contemporary life. Each week involves the study of a major approach to theorizing and interpreting media and its messages. By developing a final longer piece of their own, students generate more overt awareness of how persuasion, interpretation, and analysis function in mediated and multimodal messages. This is a writing intensive course."
COM 216,"Sourcing Challenges in Journalism",3.0,"COM 160 [Min Grade: D]","The major challenges faced by journalists as they source and write their stories and how those challenges manifest themselves in coverage will be explored. Topics include how misrepresentation deepens marginalization of social groups, “both sides-ism,” collaborations with public relations professionals on content, the blurred boundary between news and advertising, and how to handle “alternative facts” and conspiracy theories in a supposedly post-truth society. Through readings, critical thinking exercises, and written assignments, we will examine the media’s dominant notion of “objectivity” and the role it plays in perpetuating bias. Students will study how newsroom decisions—what to cover, how to frame a story, and how to correctly source and shape social and political narratives about diverse communities."
COM 220,"Qualitative Research Methods",3.0,"No Prereq","This course provides a detailed investigation of the nature, application, analysis and write up of qualitative research in communication and the social sciences, including such topics as ethnography, in-depth interviews, focus groups, participant observation, and narrative analysis."
COM 221,"Quantitative Research Methods in Communication",3.0,"No Prereq","This course introduces students to quantitative methods used in the study of communication. The course will help student develop techniques to understand research problems in communication settings. Students will consider applications, including survey research, content analysis, usability testing, and experimental design, and will discuss procedures for developing, operationalizing, and testing questions within communication environments."
COM 222,"Interpersonal Communication",3.0,"COM 101 [Min Grade: D] or COM 111 [Min Grade: D]","This course is designed to acquaint students with a more thorough understanding of the dynamics of interpersonal communication. This will be done through both a review of scholarly writing on the subject, as well as direct observations and analysis. By the end of this course, students should have a much deeper appreciation of the complexities of interpersonal communication, their own capacities as a communicator, as well as increased interpersonal communication skills."
COM 230,"Techniques of Speaking",3.0,"ENGL 102 [Min Grade: D] or ENGL 105 [Min Grade: D] or ENGL 112 [Min Grade: D]","A workshop course in improving public speaking skills. Provides experience in speeches of explanation, persuasion, and argument."
COM 240,"New Technologies In Communication",3.0,"No Prereq","Provides an overview and survey of the changes taking place in the technologies of information production, distribution, storage, and display, including the interaction of these changes with legal, social, cultural, and communications systems."
COM 246,"Media and Identity",3.0,"No Prereq","This course focuses on the central role that identity plays in popular culture, exploring how media reflect diverse identities and how, in turn, we use media to construct our own identities."
COM 247,"Strategic Social Media Communication",3.0,"No Prereq","Students learn research-based best practices for strategic social media communication by brands and organizations across a range of platforms. Working in teams, students develop social media campaigns with content calendars, potential influencers and evaluation plans utilizing analytic tools. Students earn a professional social media certification credential."
COM 248,"Reputation Management in Public Relations",3.0,"No Prereq","Successful PR management includes contributing to an organization's bottom line through effective reputation management. In this course, students will gain knowledge of the PR strategies and tactics needed to promote, maintain and manage organizational reputation. Focus areas will include organizational reputation development and assessment, Corporate Social Responsibility (CSR) for community building, issues and crisis management, as well as media coaching from a PR standpoint."
COM 250,"Diversity in Media",3.0,"No Prereq","Students are invited to examine how ideas about diversity and diverse peoples in America and other places are created and experienced through media. The class will center around questions such as who creates and controls major images and ideas of diversity, and who consumes those ideas and why? How are social and ethnic groups recognized and how does that recognition change historically through various media? How do micro- and macro- politics of diversity play out in media and how do producers and consumers of media affect mainstream and non-mainstream ideas of diversity?."
COM 251,"Language and Cultural Diversity in the USA",3.0,"No Prereq","This course will explore the history and current dynamics of language-based cultural diversity in the USA. Through an examination of communication patterns of men and women, language diversity of African Americans, and the cultural production of various immigrant groups, we will explore the predominance of a rich array of languages and cultures pertaining to most periods of American history. The Yiddish language-based immigrant culture of American Jews will be treated as a case study, dwelling on the rich Yiddish literature created, as well as language-based cultural institutions, such as the press, theater, radio, klezmer music, and film."
COM 255,"Fans, Fandom, and Audiences",3.0,"No Prereq","This course will introduce students to theories and concepts in the study of popular culture related to fans, fandoms, and audiences. Through readings, discussions, videos, etc. this course will examine issues around fans and fandoms, taste and consumption, fan production, and diversity in fandoms."
COM 261   [WI],"Advanced Journalism",3.0,"COM 160 [Min Grade: D]","This course is designed for students interested in advancing their knowledge of news reporting and writing. Students will learn how to cover meetings, speeches, public affairs, such as courts, and to write for digital media. In addition, students will learn how to write human-interest stories, called features. This is a writing intensive course."
COM 263,"Multiplatform Journalism",3.0,"COM 160 [Min Grade: D]","Merging traditional media with a more contemporary “one-person band” approach to reporting, you will act as reporter, videographer, and storyteller, recognizing that journalism today is practiced largely outside the newsroom. Students will immerse themselves in a community of their choosing to find stories that have not received attention – individuals with fascinating backstories, undiscovered histories, and unexplored issues facing residents. Students will be equipped to perform all the functions involved in the construction of coherent, incisive multimedia journalistic narratives."
COM 265,"Audio Journalism",3.0,"COM 160 [Min Grade: D] or COM 260 [Min Grade: D]","This course will familiarize students with the creation of audio news and editorial content that is used not only in traditional radio broadcasting, but also in web-delivered programming such as podcasts and streamed audio. Students will learn the unique characteristics of audio journalism, practice “writing for the ear” and will record and edit digital audio."
COM 266,"Copy Editing for the Media",3.0,"COM 160 [Min Grade: D] or COM 260 [Min Grade: D]","This course is designed to acquaint students with the necessary skills to prepare written materials for the media. It will cover traditional print media, magazines and online media, such as websites and blogs. The importance of accuracy, consistency, and credibility in handling written copy will be emphasized. Skills to write captivating headlines, captions and other accompaniments to visuals will be a large focus of this class."
COM 270   [WI],"Business Communication",3.0,"ENGL 102 [Min Grade: D] or ENGL 112 [Min Grade: D]","Covers the writing of business letters, resumes, memos, proposals, and reports. This is a writing intensive course."
COM 282   [WI],"Public Relations Writing in the Digital Age",3.0,"COM 181 [Min Grade: D]","In this writing-intensive course, students develop professional-level writing and pitching skills expected of public relations practitioners. The objectives include an understanding of PR writing styles and genres as a persuasive influence and learn how to write internal and external PR materials for both print and digital media."
COM 284,"Public Relations Research, Measurement and Evaluation",3.0,"COM 181 [Min Grade: D]","Scientific research is the first essential element in the process of Public Relations. This course predominantly focuses on quantitative research methods most widely used to evaluate an organization's public relations efforts and scientifically measure public opinion. Students get hands-on experience of designing surveys, analyzing media content, and learning about focus groups."
COM 286,"Public Relations Strategies and Tactics",3.0,"COM 282 [Min Grade: D]","In this course, students develop skills to understand advanced concepts, strategies, and tactics for public relations management. Using current and historical cases, students learn to apply core theoretical ideas and practices to manage public relations efforts."
COM 290,"Sports and the Mass Media",3.0,"ENGL 102 [Min Grade: D] or ENGL 112 [Min Grade: D]","To explore the interrelationships between professional and college sports and the mass media. Students will look at how news media coverage has changes sports, the conventions found in sports journalism, promotion and marketing of sports teams and leagues, and how sponsorship of sporting events changes the nature of these events."
COM 305,"Sports Journalism",3.0,"COM 260 [Min Grade: D] or COM 160 [Min Grade: D]","To gain a deeper appreciation for and understanding of the meaning- making power of sports journalism. We will explore the history of sports journalism, review and critique examples of historically significant sports writing and write game stories and columns based on actual coverage of local and on-campus sporting events."
COM 310   [WI],"Technical Communication",3.0,"ENGL 102 [Min Grade: C] or ENGL 112 [Min Grade: C]","Develops skills in communicating with a technical focus. The course emphasizes technical genres such as proposals, reports, and instructions, as well as associated shorter documents, graphics and presentations optimized for print and online environments. Offers extensive application of the writing process, including creating drafts, receiving feedback, applying feedback in revising. This is a writing intensive course."
COM 315   [WI],"Investigative Journalism",3.0,"COM 260 [Min Grade: D] or COM 261 [Min Grade: D]","Mastery of investigative reporting tactics and strategies enables student to explore and write about issues of great importance to the community. This is a writing intensive course."
COM 316,"Campaigns for Health & Environment",3.0,"No Prereq","This seminar-style course explores theories and practical aspects of environmental and health campaigns and community-based social marketing campaigns. This course has a strong applied component."
COM 317   [WI],"Environmental Communication",3.0,"No Prereq","This reading and writing intensive course will explore communication about environmental issues. Topics can include advocacy campaigns, social marketing, environmental journalism, media coverage of environmental issues, green marketing, the environment in popular culture, risk communication, and public participation."
COM 318,"Film, Celebrity and the Environmental Movement",3.0,"No Prereq","Using the framework of mass media and behavioral change theories, we will look at the environmental movement through the lends of “eco celebrities” and mainstream environmental films and will discuss how Hollywood shapes our perceptions of the environment and whether this has helped or hurt the environmental movement."
COM 320   [WI],"Science Writing",3.0,"HUM 103 [Min Grade: D] or HUM 105 [Min Grade: A] or HUM 108 [Min Grade: D] or ENGL 103 [Min Grade: D] or ENGL 105 [Min Grade: A]","A workshop course in writing on scientific subjects. Includes analysis of the current market for science writing; examination of exemplary pieces of science writing; instruction in finding article ideas, interviewing, and working with editors; and production of feature-length articles. This is a writing intensive course."
COM 325,"Celebrity and Authenticity",3.0,"No Prereq","In this course, we explore how the phenomenon of celebrity is constructed and who plays key roles in its construction: the celebrity, the entourage (industry representatives), the media, and audiences. Especially crucial is the notion of authenticity, an idea which guides media and fans in their appreciation of celebrity. Once we have established these key parameters, we discuss the role of mediated communication about celebrity among audiences and how celebrity and celebrities represent issues in society around intersections like race, age and gender."
COM 326,"Public Relations for Science",3.0,"No Prereq","Public relations in the service of science poses special challenges. Perhaps the biggest challenge arises from the tension between science’s search for truth and public relations’ work for advocacy. This course explores this tension and ways of resolving it through a combination of readings in recent practice and scholarship in the field, analyses of recent case studies, and conversations with area professionals in public relations for science."
COM 330,"Professional Presentations",3.0,"COM 230 [Min Grade: D]","A workshop course in the theory and practice of making effective professional presentations for the technical and business professional. Provides a systems approach to the planning, production, and presentation of visual/aural programs."
COM 335   [WI],"Digital Publishing",3.0,"ENGL 102 [Min Grade: D] or ENGL 112 [Min Grade: D]","Digital Publishing gives students applied and theoretical knowledge of professional digital publishing. Students will learn and apply best practices relating to writing and integrating text and graphics to create audience-specific branded websites and/or blogs. Students will also apply credibility and usability standards to evaluate websites. This is a writing intensive course."
COM 340,"Modern Desktop Publishing",3.0,"ENGL 102 [Min Grade: D] or ENGL 112 [Min Grade: D]","Covers production of publications using desktop publishing software, including planning, writing, designing, and budgeting of institutional magazines, newsletters, manuals, and brochures. Requires students to design several pieces (letterheads and flyers)."
COM 341,"Communication Past and Present",3.0,"No Prereq","This course examines the history of communication in depth, drawing on major studies and theories of creating and interpreting world events across the globe and across the span of recorded history. In that examination, technologies of communication are conceived broadly as both material and ideational modes. Students will read signature works by Communication historians and discuss both evidence and argument, as well as how the various transitions in human society affect and are affected by forms of communication. Attention will also be paid to social movements and the role of communication in marshalling social power and influence."
COM 342,"English Worldwide",3.0,"ENGL 102 [Min Grade: D] or ENGL 112 [Min Grade: D]","This course provides an overview of the spread of English globally, by examining English as a language of trade, diplomacy, and education, as well as its status as an aesthetic and market force. For a final project, students research how English is utilized for social, economic, and political purposes in a single area of the world."
COM 345,"Intercultural Communication",3.0,"No Prereq","This course introduces students to the theory and practice of intercultural communication. Drawing from traditions in anthropology and communication, intercultural communication is the study of the effect of differing cultural norms and beliefs upon communication between speakers. Through a wide range of readings, journal writing assignments, and participative and experiential activities, students will develop both their understanding of and skills in inter-cultural communication. A final project and presentation draws together participative experiences and the readings and class discussions."
COM 350   [WI],"Document Design and Evaluation",3.0,"No Prereq","Introduces the principles and practice of designing documents and measuring their effectiveness with audiences. This is a writing intensive course."
COM 351,"Computer Mediated Communication",3.0,"COM 220 [Min Grade: D]","We focus on practices and affordances of Computer Mediated Communication (CMC). We consider how computer technology is used in social interaction and its practical consequences. We focus on social practices and uses of technology. We use qualitative methods of analysis to understand the practices of CMC."
COM 355,"Ethnography of Communication",3.0,"HUM 103 [Min Grade: D] or HUM 105 [Min Grade: A] or HUM 108 [Min Grade: D] or ENGL 103 [Min Grade: D] or ENGL 105 [Min Grade: A]","Examines theories and methods of qualitative language and communication studies. Topics include story telling, greetings, gossip, self-presentation in talk, language of ritual and religion, men and women's roles in communication, and communicative events and competence. Case student in literature will be analyzed and will form a basis for the students' own ethnographic fieldwork."
COM 360,"Strategic International Communication",3.0,"No Prereq","The course will explain the significance of strategic international communication in the contemporary globalized and digitized world. To a large extent, nations are brands and the images of those brands are strategically shaped by different agents – private and political interests, as well as state and business actors. The arsenal of tools they are using is huge – media, literature, movies, arts, history lessons, philosophy, religion, etc. Students will explore this process of strategic international image formation through the historical context, theoretical concepts, and the economic and structural aspects of strategic international communication. In each area, students will identify the key developments and large issues at stake rather than merely acquiring information."
COM 362,"International Negotiations",3.0,"No Prereq","This course is designed to give students a comprehensive overview of the field including different theoretical points of view on the process of international negotiations; the role of perceptions in this process; the role of internal politics and cultural variables in the process of international negotiations."
COM 363,"Event Planning",3.0,"No Prereq","This course will provide the student with the theoretical and practical fundamentals in understanding the complexities of producing Special Events across all major industries. Special Events addresses all elements of the communication process."
COM 365,"Journalists, the Courts, and the Law",3.0,"COM 260 [Min Grade: D] or COM 160 [Min Grade: D]","Students explore and apply techniques for covering the court system, and explore case law and recent key legal developments that have reshaped how journalists do their jobs."
COM 375   [WI],"Grant Writing",3.0,"COM 270 [Min Grade: D] or COM 310 [Min Grade: D] or SOC 260 [Min Grade: D] or SOC 355 [Min Grade: D]","Students explore the grant writing process, from the development of an idea and researching appropriate contributors, to writing a fully realized grant proposal, complete with budget. Course topics also include surveying the political and social climate before developing an idea, assessing an organization's capabilities to handle a project, and performing through literature reviews. This is a writing intensive course."
COM 376,"Nonprofit Communication",3.0,"No Prereq","All nonprofit organizations must develop and maintain effective communication strategies in order to survive in a competitive economy. Nonprofits have unique needs and limitations in their longterm goals and short-term operations that relate to communication. This course introduces students to the ways nonprofits communicate with both their constituents and their benefactors and the ways researchers have examined these practices. Students will explore these two perspectives on nonprofit communication through a combination of scholarly readings, dialogues with local representatives in the nonprofit sector, and direct contact and work for a local nonprofit organization (as coordinated by the Drexel Center for the Support of Nonprofit Communication)."
COM 377,"Communication for Civic Engagement",3.0,"No Prereq","Extremist rhetoric and divisive politics seem to go hand-in-hand in today’s public deliberations. The media so often pair the word rhetoric itself with the pejorative adjectives mere, empty, and deceptive, that anything rhetorical becomes vilified. This course draws from the ancient accounts of rhetoric and the contemporary studies on rhetoric to rehabilitate it as a way to inform our efforts towards a more civil public discourse. This course also will host guest speakers from local civic and political organizations who engage in rhetorical practices in the service of civic engagement, which includes the discourse both of people who exercise political power and of citizens who debate over public policies and cultural identity."
COM 378,"Public Service Campaigns",3.0,"No Prereq","Public communication campaigns are a familiar and essential part of American civic culture. Campaign topics range from personal issues, such as health, to social issues, such as equal opportunity, energy conservation, and environmental protection. Campaigns are regarded as public service programs if their goals are widely supported by the public and policymakers. If their goals are controversial, however, then they are regarded as advocacy strategies."
COM 379,"Focus Groups",3.0,"No Prereq","This advanced qualitative research methods course will discuss the use of focus groups to collect data for social science inquiry from both an academic and a consumer research perspective. We will take an in-depth look at how to plan, implement, and analyze data collected through a focus group process, including: purposes and uses of focus group interviews, human subjects research considerations, participant recruitment, sampling, question design, facilitation techniques, recording options, transcription, analysis, and reporting of data."
COM 384,"Free Speech & Censorship",3.0,"No Prereq","In this course, students will explore the various forms --some obvious, some not-- that censorship takes. Also explored will be what those who hold dissenting views endure as they try to contribute to the national dialogue. Historical and legal perspective on censorship will also be considered."
COM 385,"Media Effects",3.0,"No Prereq","Some people believe that the mass media rule our lives, making us fat, violent, sexist, etc. Some think that media are irrelevant. Of course these arguments are extreme and simplifications. In this course, we ask: What are the facts regarding media effects research?."
COM 386,"Public Relations Campaign Planning",3.0,"COM 284 [Min Grade: D] and COM 286 [Min Grade: D] and COM 248 [Min Grade: D]","This capstone course focuses on the application of public relations strategies and tactics. Students learn how to analyze, plan, and conduct successful public relations campaigns systematically and scientifically. Students will assess and define campaign objectives and create full-scale PR campaigns for their "real-world clients."."
COM 391,"Critiques of Journalism and News Media",3.0,"COM 150 [Min Grade: D]","This course examines the role of journalism and news media in the social construction of our world. Focusing on key topics like framing and agenda setting in media research, we will critically consider how stories are routinely emphasized, excluded, organized, made sense of, and accumulate, plus more. We will discuss such topics in regard to various media (from newspapers to new media), various methods (qualitative and quantitative), and various public issues (including politics, music, sports, and representation of race/gender/sexuality/etc.)."
COM 400,"Seminar in Communication",3.0,"COM 210 [Min Grade: D]","This is an upper-level seminar in various topics in Communication, including but not limited to Rhetoric. Students will undertake an in-depth examination of critical texts or themes in Communication. The course is intended for upper-level majors in Communication and can be repeated for credit with a different topic."
